jpg_id,file_name,sd_card,date_taken,monkey_group,orientation,contents
254,20220331_SD02_3504.JPG,SD02,2022-03-31,Instigators,portrait,monkey
255,20220331_SD02_3507.JPG,SD02,2022-03-31,Instigators,landscape,monkey
256,20220331_SD02_3508.JPG,SD02,2022-03-31,Instigators,portrait,monkey
257,20220331_SD02_3509.JPG,SD02,2022-03-31,Instigators,portrait,monkey
258,20220331_SD02_3510.JPG,SD02,2022-03-31,Instigators,portrait,monkey
259,20220331_SD02_3511.JPG,SD02,2022-03-31,Instigators,portrait,monkey
260,20220331_SD02_3512.JPG,SD02,2022-03-31,Instigators,portrait,monkey
261,20220331_SD02_3515.JPG,SD02,2022-03-31,Instigators,portrait,monkey
262,20220331_SD02_3516.JPG,SD02,2022-03-31,Instigators,portrait,monkey
263,20220331_SD02_3518.JPG,SD02,2022-03-31,Instigators,portrait,monkey
264,20220331_SD02_3522.JPG,SD02,2022-03-31,Instigators,portrait,monkey
265,20220331_SD02_3523.JPG,SD02,2022-03-31,Instigators,portrait,monkey
266,20220331_SD02_3524.JPG,SD02,2022-03-31,Instigators,portrait,monkey
267,20220331_SD02_3525.JPG,SD02,2022-03-31,Instigators,portrait,monkey
268,20220331_SD02_3527.JPG,SD02,2022-03-31,Instigators,portrait,monkey
269,20220331_SD02_3528.JPG,SD02,2022-03-31,Instigators,portrait,monkey
270,20220331_SD02_3529.JPG,SD02,2022-03-31,Instigators,portrait,monkey
271,20220331_SD02_3530.JPG,SD02,2022-03-31,Instigators,portrait,monkey
272,20220331_SD02_3534.JPG,SD02,2022-03-31,Instigators,portrait,monkey
273,20220331_SD02_3539.JPG,SD02,2022-03-31,Instigators,portrait,monkey
274,20220331_SD02_3593.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
275,20220331_SD02_3594.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
276,20220331_SD02_3597.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
277,20220331_SD02_3604.JPG,SD02,2022-03-31,Stranger Things,landscape,monkey
278,20220331_SD02_3610.JPG,SD02,2022-03-31,Stranger Things,landscape,monkey
279,20220331_SD02_3613.JPG,SD02,2022-03-31,Stranger Things,landscape,monkey
280,20220331_SD02_3615.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
281,20220331_SD02_3617.JPG,SD02,2022-03-31,Stranger Things,landscape,monkey
282,20220331_SD02_3619.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
283,20220331_SD02_3625.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
284,20220331_SD02_3626.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
285,20220331_SD02_3628.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
286,20220331_SD02_3631.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
287,20220331_SD02_3632.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
288,20220331_SD02_3634.JPG,SD02,2022-03-31,Stranger Things,portrait,monkey
