jpg_id,file_name,monkey_group,sd_card,date_taken
274,20220331_SD02_3593.JPG,Stranger Things,SD02,2022-03-31
275,20220331_SD02_3594.JPG,Stranger Things,SD02,2022-03-31
276,20220331_SD02_3597.JPG,Stranger Things,SD02,2022-03-31
277,20220331_SD02_3604.JPG,Stranger Things,SD02,2022-03-31
278,20220331_SD02_3610.JPG,Stranger Things,SD02,2022-03-31
279,20220331_SD02_3613.JPG,Stranger Things,SD02,2022-03-31
280,20220331_SD02_3615.JPG,Stranger Things,SD02,2022-03-31
281,20220331_SD02_3617.JPG,Stranger Things,SD02,2022-03-31
282,20220331_SD02_3619.JPG,Stranger Things,SD02,2022-03-31
283,20220331_SD02_3625.JPG,Stranger Things,SD02,2022-03-31
284,20220331_SD02_3626.JPG,Stranger Things,SD02,2022-03-31
285,20220331_SD02_3628.JPG,Stranger Things,SD02,2022-03-31
286,20220331_SD02_3631.JPG,Stranger Things,SD02,2022-03-31
287,20220331_SD02_3632.JPG,Stranger Things,SD02,2022-03-31
288,20220331_SD02_3634.JPG,Stranger Things,SD02,2022-03-31
289,20220331_SD02_3643.JPG,Stranger Things,SD02,2022-03-31
290,20220331_SD02_3644.JPG,Stranger Things,SD02,2022-03-31
291,20220331_SD02_3645.JPG,Stranger Things,SD02,2022-03-31
292,20220331_SD02_3647.JPG,Stranger Things,SD02,2022-03-31
293,20220331_SD02_3648.JPG,Stranger Things,SD02,2022-03-31
294,20220331_SD02_3656.JPG,Stranger Things,SD02,2022-03-31
295,20220331_SD02_3660.JPG,Stranger Things,SD02,2022-03-31
296,20220331_SD02_3662.JPG,Stranger Things,SD02,2022-03-31
297,20220331_SD02_3663.JPG,Stranger Things,SD02,2022-03-31
298,20220331_SD02_3664.JPG,Stranger Things,SD02,2022-03-31
299,20220331_SD02_3666.JPG,Stranger Things,SD02,2022-03-31
300,20220406_SD01_3765.JPG,Stranger Things,SD01,2022-04-06
301,20220406_SD01_3766.JPG,Stranger Things,SD01,2022-04-06
302,20220406_SD01_3774.JPG,Zombies,SD01,2022-04-06
303,20220406_SD01_3778.JPG,Zombies,SD01,2022-04-06
304,20220406_SD01_3780.JPG,Zombies,SD01,2022-04-06
305,20220406_SD01_3781.JPG,Zombies,SD01,2022-04-06
306,20220406_SD01_3782.JPG,Zombies,SD01,2022-04-06
307,20220406_SD01_3784.JPG,Zombies,SD01,2022-04-06
308,20220406_SD01_3785.JPG,Zombies,SD01,2022-04-06
309,20220406_SD01_3786.JPG,Zombies,SD01,2022-04-06
310,20220406_SD01_3790.JPG,Zombies,SD01,2022-04-06
311,20220406_SD01_3791.JPG,Zombies,SD01,2022-04-06
312,20220406_SD01_3796.JPG,Zombies,SD01,2022-04-06
313,20220406_SD01_3806.JPG,Zombies,SD01,2022-04-06
314,20220406_SD01_3807.JPG,Zombies,SD01,2022-04-06
315,20220406_SD01_3812.JPG,Zombies,SD01,2022-04-06
316,20220406_SD01_3813.JPG,Zombies,SD01,2022-04-06
317,20220407_SD03_3987.JPG,Stranger Things,SD03,2022-04-07
318,20220407_SD03_3988.JPG,Stranger Things,SD03,2022-04-07
319,20220407_SD03_3989.JPG,Stranger Things,SD03,2022-04-07
320,20220407_SD03_3990.JPG,Stranger Things,SD03,2022-04-07
321,20220407_SD03_3994.JPG,Stranger Things,SD03,2022-04-07
322,20220407_SD03_3996.JPG,Stranger Things,SD03,2022-04-07
323,20220407_SD03_3997.JPG,Stranger Things,SD03,2022-04-07
324,20220407_SD03_4003.JPG,Stranger Things,SD03,2022-04-07
325,20220415_SD01_4040.JPG,Instigators,SD01,2022-04-15
326,20220415_SD01_4044.JPG,Instigators,SD01,2022-04-15
327,20220415_SD01_4046.JPG,Instigators,SD01,2022-04-15
328,20220415_SD01_4050.JPG,Instigators,SD01,2022-04-15
329,20220415_SD01_4066.JPG,Instigators,SD01,2022-04-15
330,20220415_SD01_4067.JPG,Instigators,SD01,2022-04-15
331,20220415_SD01_4077.JPG,Instigators,SD01,2022-04-15
332,20220415_SD01_4078.JPG,Instigators,SD01,2022-04-15
333,20220415_SD01_4079.JPG,Instigators,SD01,2022-04-15
334,20220415_SD01_4080.JPG,Instigators,SD01,2022-04-15
335,20220415_SD01_4081.JPG,Instigators,SD01,2022-04-15
336,20220415_SD01_4082.JPG,Instigators,SD01,2022-04-15
337,20220415_SD01_4086.JPG,Instigators,SD01,2022-04-15
338,20220415_SD01_4087.JPG,Instigators,SD01,2022-04-15
339,20220415_SD01_4094.JPG,Instigators,SD01,2022-04-15
340,20220415_SD01_4095.JPG,Instigators,SD01,2022-04-15
341,20220415_SD01_4097.JPG,Instigators,SD01,2022-04-15
342,20220415_SD01_4105.JPG,Stranger Things,SD01,2022-04-15
343,20220415_SD01_4109.JPG,Stranger Things,SD01,2022-04-15
344,20220415_SD01_4110.JPG,Stranger Things,SD01,2022-04-15
345,20220415_SD01_4112.JPG,Stranger Things,SD01,2022-04-15
346,20220415_SD01_4116.JPG,Stranger Things,SD01,2022-04-15
347,20220415_SD01_4119.JPG,Stranger Things,SD01,2022-04-15
348,20220415_SD01_4120.JPG,Stranger Things,SD01,2022-04-15
349,20220415_SD01_4133.JPG,Stranger Things,SD01,2022-04-15
350,20220415_SD01_4192.JPG,Zombies,SD01,2022-04-15
351,20220415_SD01_4198.JPG,Zombies,SD01,2022-04-15
352,20220415_SD01_4202.JPG,Zombies,SD01,2022-04-15
353,20220415_SD01_4209.JPG,Zombies,SD01,2022-04-15
354,20220415_SD01_4210.JPG,Zombies,SD01,2022-04-15
355,20220415_SD01_4213.JPG,Zombies,SD01,2022-04-15
356,20220415_SD01_4214.JPG,Zombies,SD01,2022-04-15
357,20220415_SD01_4220.JPG,Zombies,SD01,2022-04-15
358,20220415_SD01_4232.JPG,Zombies,SD01,2022-04-15
359,20220415_SD01_4238.JPG,Zombies,SD01,2022-04-15
360,20220415_SD01_4239.JPG,Zombies,SD01,2022-04-15
361,20220415_SD01_4240.JPG,Zombies,SD01,2022-04-15
362,20220415_SD01_4241.JPG,Zombies,SD01,2022-04-15
363,20220415_SD01_4246.JPG,Zombies,SD01,2022-04-15
